Crop,City,Date,Modal Price
Tomato,Bangalore,2025-01-01,30
Tomato,Bangalore,2025-02-01,35
Tomato,Bangalore,2025-03-01,33
Tomato,Bangalore,2025-04-01,28
Tomato,Bangalore,2025-05-01,26
Tomato,Bangalore,2025-06-01,31
Tomato,Bangalore,2025-07-01,36
Tomato,Bangalore,2025-08-01,38
Tomato,Bangalore,2025-09-01,34
Tomato,Bangalore,2025-10-01,29
Tomato,Bangalore,2025-11-01,32
Tomato,Bangalore,2025-12-01,30
Tomato,Mysore,2025-01-01,28
Tomato,Mysore,2025-02-01,27
Tomato,Mysore,2025-03-01,30
Tomato,Mysore,2025-04-01,32
Tomato,Mysore,2025-05-01,33
Tomato,Mysore,2025-06-01,31
Tomato,Mysore,2025-07-01,35
Tomato,Mysore,2025-08-01,36
Tomato,Mysore,2025-09-01,34
Tomato,Mysore,2025-10-01,29
Tomato,Mysore,2025-11-01,28
Tomato,Mysore,2025-12-01,30
Onion,Bangalore,2025-01-01,22
Onion,Bangalore,2025-02-01,24
Onion,Bangalore,2025-03-01,23
Onion,Bangalore,2025-04-01,25
Onion,Bangalore,2025-05-01,27
Onion,Bangalore,2025-06-01,26
Onion,Bangalore,2025-07-01,28
Onion,Bangalore,2025-08-01,30
Onion,Bangalore,2025-09-01,29
Onion,Bangalore,2025-10-01,27
Onion,Bangalore,2025-11-01,24
Onion,Bangalore,2025-12-01,25
Potato,Bangalore,2025-01-01,20
Potato,Bangalore,2025-02-01,22
Potato,Bangalore,2025-03-01,21
Potato,Bangalore,2025-04-01,23
Potato,Bangalore,2025-05-01,25
Potato,Bangalore,2025-06-01,26
Potato,Bangalore,2025-07-01,24
Potato,Bangalore,2025-08-01,27
Potato,Bangalore,2025-09-01,29
Potato,Bangalore,2025-10-01,28
Potato,Bangalore,2025-11-01,26
Potato,Bangalore,2025-12-01,25
Potato,Mysore,2025-01-01,22
Potato,Mysore,2025-02-01,23
Potato,Mysore,2025-03-01,24
Potato,Mysore,2025-04-01,26
